A	a
Ademptio	a taking away.
Angli	Angles .
Britones	Bretons.
Cineres	Ash Wednesday.
Corbeiam	Corbie.
Corturiacum	Courtrai.
Courtacum	Courtrai.
Curtracus	Courtrai.
Daci	Dacians.
Franci	Franks.
Francigeni	Frankish people.
Francisca	Frankish.
Gandavum	Ghent.
Gemblacensis	Gembloux.
Hasnonium	Hasnon.
Heidelberg	you are the finest.
Helcim	Helchin on the left bank of the Scheldt.
Helnonensis	Elnon. Herimann, p. 279.
Herebus	Lower World.
Hoienses	huy, belgium, between liege and namur.
Hunnam	Bunna.
Ico	to strike, hit, wound /strike a bargain, make a deal.
Insula	Lille. 
Ite	go
Laudunum	Laon.
Leodie	Liege.
Leodium	Liege.
Lutosensis	Leuze.
Malbodiensis	Maubeuge.
Malmundarium	Malmedy.
Marceniense	Marchiennes,.
Marcieniensis	Marchiennes.
Metim	Metz.
Moguntium	Mainz.
Monasteriense	Mnster.
Montensem	Mons.
Namucense	Namur.
Nivellensem	Nivelles, city and monastery.
Northmanni	Normans.
Olympus	heaven, home of the gods, height of eminence.
Orientales	Easterners.
Phoebus	sun.
Rotomagense	Rouen.
Santiago	st. james.
Sarcalogos	Christ, the word incarnate.
Scaldus	Scheldt.
Siclinium	Seclin.
Stabulaus	Stavelot.
Taruennam	Therouanne.
Templovium	Templeuve, villa near Cisoing.
Tornacense	Tournai.
Traiectensium	Utrecht.
Traiectum	Maastricht.
Trellum	Trelon, castle in Hannonia.
Treverim	Triers.
Tungris	Tongres.
Uticensium	Evroul.
Vendolius	Vendeuil.
Verbigena	he who was born of the word (Christ).
Vernandense	Vermandois.
Vulcanus	fire-god.
abaci	abacuses
abacus	abacus
abalienato	transfer of property, alienation.
abavus	great-great-grandfather.
abbates	abbots
abbatia	abbey, monastery.
abdicare	abdicate
abdico	to renounce, reject / abdicate / disapprove of.
abdo	put away, remove / hide, conceal.
abdomen	abdomen belly / gluttony.
abduco	to lead, or take away/ detach, withdraw.
abeo	+ in, to be changed. to digress / change / vanish, disappear. to go away, retire /depart from life, die. to pass, to have been.
aberro	to wander, deviate, escape.
abhinc	ago, back from now, henceforth, hereafter.
abhorreo	to shudder.
abhorrere	abhor
abicio	to throw down, dispense with, get rid of /dishearten, weaken.
abico	to humble, cast aside.
abiectus	contemptible
abiego	to send away, send off.
abigo	to drive off, drive away, rustle cattle, steal.
abiungo	to unharnass/ separate, detach.
abiuro	to deny by oath.
abjectus	abject
abluo	to wash, clean, cleanse.
abnego	to deny, refuse.
abnepos	great-great-grandson.
abnocto	to spend the night out, to stay away all night.
abnuo	to deny.
aboleo	to destroy, abolish, annul, do away with, obliterate, efface.
abolesco	to die, perish, vanish.
abominor	to abhor, hate, detest, abominate.
aborior	to set (as in "the sun sets").
abortio	miscarriage.
abortivus	one prematurely born.
abrogo	to repeal, annul, remove, take away.
abrumpo	to break off, sever, remove, dissociate, separate.
abruptio	separation, divorce.
abscedo	to go away, depart, leave.
abscido	to cut off, to separate, take away.
absconditus	hidden, concealed.
abscondo	to hide, conceal, secrete.
absens	(adj.) absent, missing, away, gone.
absisto	to go away, desist.
absorbeo	to swallow, gulp down, carry away, engross.
absque	(+ ablative) without, except.
abstergo	to wipe off, clean away.
abstulo	to take away, withdraw.
absum	to be absent, be away, be missing, be gone.
abundans	abundant, overflowing, abounding in.
abundantia	abundance, bounty, plenty.
abunde	in great profusion, profusely, abundantly.
abutor	to make full use of, to abuse. to use abusive language / use a word incorrectly.
abyssus	hell, abyss, chasm.
ac	=atque and.
accedo	to approach, come near /(things) to be added.
accelero	to quicken, hasten, speed /accelerate.
accendo	to kindle, illuminate, inflame. to rouse up, arouse, excite, incite.
acceptius	suitable for receiving.
acceptus	welcome welcome, pleasant, agreeable.
accersitus	summoned, called.
accido	destroy. to fall down /to happen, occur / to hack, hew /to ruin.
accipio	cepi, ceptum, to receive, accept, take. to consider oneself indebted, receive, learn, take.
acclivius	well-disposed.
accommodo	to adjust, adapt, accommodate oneself.
accredo	to believe unconditionally, accept wholeheartedly.
accubo	to recline at table, dine.
accumulo	to add to a heap, accumulate, amass.
accusator	accusor, plaintiff.
accuse	to accuse, blame, find fault with.
accuso	to accuse, blame, find fault with.
acer	sharp, keen, eager, severe, fierce. stinging, violent, bitter.
acerbitas	harshness, bitterness, anguish.
acerbus	bitter, gloomy, dark. shrill, rigorous.
acervus	a heap, mass.
acidus	sharp, sour.
acies	army, wing of a formation. keeness, edge, sharpness, battle-line, battlefield.
acquiesco	to repose, assent to, agree.
acquiro	to acquire, gain, get, obtain.
acriter	* vehemently, forcefully.
acsi	as if, (Herimann p. 283, 293).
actio	to act.
actus	moving through.
adamans	steeled, unyielding, adamant, stubborn, intransigeant.
adamo	to fall in love with, find pleasure in.
adapto	adapt, adjust, make ready, or fit.
adaugeo	to make greater, add, increase, augment.
addo	to give, bring, place, / inspire, cause,/ add, join.
adduco	to lead, induce, persuade, bring.
adeo	(adverb) so far, to that point, so much, so long, etc. to approach, visit, come to, undertake. to such a point, such an extent, so far, so long.
adeptio	attainment, obtaining, achievement.
adepto	to obtain, get, acquire.
adficio	to affect, afflict, weaken, sap, exhaust, drain.
adhaero	to hang to, stick to, adhere. to stick, cleave, secure, keep close to.
adhuc	till then, till now, still, even now, besides, also, yet.
adicio	to direct, address, apply / to throw to.
